relevamiento,variable,unidad,periodo_tipo,periodo_raw,fecha_objetivo,horizonte_meses,referencia,bloque,variable_mapeada,hoja,mediana,promedio,desvio,max,min,p90,p75,p25,p10,n
2016-06,IPC_NG_GBA,var. % mensual,mes,jul-16,2016-07-31,1,var. % mensual,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,2.1999999999999997,2.2421967150317554,0.4432988769159728,3.6,1.6,3.0,2.5,1.94,1.7,39.0
2016-06,IPC_NG_GBA,var. % mensual,mes,ago-16,2016-08-31,2,var. % mensual,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,1.9,1.8835326719482857,0.3529502703934568,3.3,1.126083467761596,2.25,2.0,1.7,1.5,39.0
2016-06,IPC_NG_GBA,var. % mensual,mes,sep-16,2016-09-30,3,var. % mensual,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,1.74,1.7561394514549353,0.29733842648187814,3.0,1.2643948795773685,2.0,1.9,1.6,1.45,39.0
2016-06,IPC_NG_GBA,var. % mensual,mes,oct-16,2016-10-31,4,var. % mensual,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,1.6,1.6142280354437766,0.2883701538772161,2.5,1.0379966478119007,2.0,1.8,1.5,1.2161236982470403,39.0
2016-06,IPC_NG_GBA,var. % mensual,mes,nov-16,2016-11-30,5,var. % mensual,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,1.5,1.542954774155365,0.24771317468768647,2.0,0.8807131071954633,1.9,1.7,1.4000000000000001,1.24265274123445,39.0
2016-06,IPC_NG_GBA,var. % mensual,mes,dic-16,2016-12-31,6,var. % mensual,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,1.6,1.6607892695116653,0.26843903841747174,2.1392918297448773,0.9820137616727953,2.0,1.9,1.5,1.3073409476060505,39.0
2016-06,IPC_NG_GBA,var. % i.a.,anio,2016,2016-12-31,6,var. % i.a.; dic-16,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,40.3,40.16032682396745,2.6528877827397106,45.4,31.8,43.88,41.985,38.25,36.9022969399966,41.0
2016-06,IPC_NG_GBA,var. % i.a.,prox_12m,Próx. 12 meses,2017-06-30,12,var. % i.a.; jun-17,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,22.4866140722499,22.488393690985056,2.787074812476928,28.0,17.62453250364939,25.96,24.925,20.0,19.32,40.0
2016-06,IPC_NG_GBA,var. % i.a.,anio,2017,2017-12-31,18,var. % i.a.; dic-17,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,19.0,19.3803094045862,2.8947501142197654,25.0,15.4,23.98,21.82,16.9,15.7,41.0
2016-06,IPC_NG_GBA,var. % i.a.,prox_24m,Próx. 24 meses,2018-06-30,24,var. % i.a.; jun-18,Precios minoristas (AMBA; INDEC),True,Cuadros de Resultados,15.7,15.875963940114712,3.2913262889947785,21.0,9.5,20.2,19.8,13.0,11.52029773072,39.0
2016-06,IPC_NG_NAC,var. % mensual,mes,jul-16,2016-07-31,1,var. % mensual,Precios minoristas (Nacional),True,Cuadros de Resultados,2.2,2.29806119214665,0.39365126390524036,3.3,1.9,3.0,2.45,2.0,1.9404,21.0
